Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;GestaoOperacional;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoCondicaoEstabilidadeRPSB;SituacaoDeclaracaoConformidadeOperacionalidade;SituacaoOperacionalFormatado;StatusEmbargo
9125;B1;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°15'54.986";-47°45'11.400";Sul do Equador;PARAGOMINAS;PA;Bauxita Grau Metalúrgico;31,80;21.100.000,00;5 - Alteamento por linha de centro;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
8935;B2;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'24.200";-45°07'55.200";Sul do Equador;ITAPECERICA;MG;Xisto;13,00;798.178,00;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8366;B3;VALE S.A.;33.592.510/0001-54;-19°52'43.139";-43°22'41.690";Sul do Equador;SÃO GONÇALO DO RIO ABAIXO;MG;-;18,00;281.283,68;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
8936;B4;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'16.300";-45°08'54.300";Sul do Equador;ITAPECERICA;MG;Xisto;42,00;999.714,00;5 - Alteamento por linha de centro;Baixo;Alto;B;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8699;B4;ITAMINAS COMERCIO DE MINERIOS SA;18.752.824/0001-83;-20°05'23.640";-44°06'01.760";Sul do Equador;SARZEDO;MG;Minério de Ferro;95,00;1.857.693,49;5 - Alteamento por linha de centro;Baixo;Alto;A;Sim;Nível de Alerta;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
8982;B5;EUROMAQUINAS MINERACAO LTDA;19.882.154/0001-82;-14°32'13.600";-59°46'12.880";Sul do Equador;NOVA LACERDA;MT;Minério de Ouro Primário;13,00;4.400.563,00;5 - Alteamento por linha de centro;Baixo;Alto;B;Sim;Nível de Alerta;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
8686;B5;VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA;16.857.492/0001-76;-20°24'06.500";-43°32'03.000";Sul do Equador;OURO PRETO;MG;-;26,40;223.840,00;0 - Etapa única;Baixo;Baixo;A;Sim;Nível de Alerta;2º Campanha 2024 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Desembargada
9127;B5;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°16'30.000";-47°44'10.800";Sul do Equador;PARAGOMINAS;PA;-;37,00;12.237.239,00;2 - Alteamento a jusante;Baixo;Baixo;AA;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Ativa;Não Embargada
8216;B6;VALE S.A.;33.592.510/0001-54;-20°03'29.700";-43°57'50.700";Sul do Equador;NOVA LIMA;MG;-;18,86;173.849,00;0 - Etapa única;Baixo;Médio;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Ativa;Não Embargada
9128;B6;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°15'34.180";-47°45'29.400";Sul do Equador;PARAGOMINAS;PA;-;13,00;545.365,00;0 - Etapa única;Baixo;Alto;AA;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
8217;B7;VALE S.A.;33.592.510/0001-54;-20°03'40.100";-43°57'40.800";Sul do Equador;NOVA LIMA;MG;-;24,00;69.808,00;2 - Alteamento a jusante;Baixo;Médio;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9091;Bacia 01;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'05.000";-43°11'31.300";Sul do Equador;BELA VISTA DE MINAS;MG;-;9,00;1.000,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9272;Bacia 02-03 Alto da Serra Mn;MINERACAO CORUMBAENSE REUNIDA S.A.;03.327.988/0001-96;-19°11'26.914";-57°37'00.111";Sul do Equador;CORUMBÁ;MS;Minério de Manganês;10,08;9.479,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9164;Bacia 05 Alto da Serra;MINERACAO CORUMBAENSE REUNIDA S.A.;03.327.988/0001-96;-19°11'30.625";-57°36'49.613";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;11,69;5.662,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9092;Bacia 07;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'59.200";-43°10'59.200";Sul do Equador;BELA VISTA DE MINAS;MG;-;7,00;500,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9093;Bacia 08;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'05.900";-43°10'48.600";Sul do Equador;BELA VISTA DE MINAS;MG;-;7,00;5.000,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9094;Bacia 09;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'37.840";-43°11'21.930";Sul do Equador;BELA VISTA DE MINAS;MG;-;7,00;2.200,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9062;Bacia 1 A;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'24.398";-48°45'10.378";Sul do Equador;BARCARENA;PA;Caulim;10,80;858.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9063;Bacia 1 B;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'27.000";-48°45'01.800";Sul do Equador;BARCARENA;PA;Caulim;10,80;260.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9095;Bacia 15;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'34.733";-43°11'27.772";Sul do Equador;BELA VISTA DE MINAS;MG;-;5,00;2.200,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9096;Bacia 16;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'09.952";-43°10'22.069";Sul do Equador;BELA VISTA DE MINAS;MG;-;12,00;12.000,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9097;Bacia 17;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'01.777";-43°09'54.766";Sul do Equador;BELA VISTA DE MINAS;MG;-;8,00;3.500,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9287;Bacia 17;SERABI MINERACAO S.A.;04.207.303/0001-30;-06°19'30.340";-55°47'10.880";Sul do Equador;ITAITUBA;PA;Minério de Ouro Primário;26,00;3.380,00;0 - Etapa única;Baixo;Baixo;B;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Ativa;Desembargada
9064;Bacia 2;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'23.000";-48°45'20.000";Sul do Equador;BARCARENA;PA;Caulim;15,00;1.374.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9065;Bacia 3;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'14.200";-48°45'25.300";Sul do Equador;BARCARENA;PA;Caulim;9,00;474.462,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
9067;Bacia 5 A;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'51.250";-48°44'59.222";Sul do Equador;BARCARENA;PA;Caulim;13,50;510.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Desembargada
9068;Bacia 5 B;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'52.827";-48°45'04.708";Sul do Equador;BARCARENA;PA;Caulim;10,00;270.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Desembargada
9069;Bacia 5 C;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°35'02.400";-48°44'56.100";Sul do Equador;BARCARENA;PA;Caulim;8,50;767.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Desembargada
9070;Bacia 6 A;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'58.000";-48°44'49.400";Sul do Equador;BARCARENA;PA;Caulim;11,00;502.937,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Inativa;Desembargada
9741;Bacia 6B;IMERYS RIO CAPIM CAULIM LTDA;16.532.798/0001-52;-01°34'49.000";-48°44'51.400";Sul do Equador;BARCARENA;PA;Caulim;15,88;626.943,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Não Embargada
8267;Bacia A;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°29'31.600";-49°27'37.000";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;5,30;17.700,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
8268;Bacia B;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°29'38.900";-49°27'36.100";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;6,50;17.900,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
9074;Bacia B 1;PARA PIGMENTOS S A;33.931.510/0001-31;-02°50'00.500";-47°54'29.000";Sul do Equador;IPIXUNA DO PARÁ;PA;-;13,00;270.000,00;0 - Etapa única;Médio;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9181;Bacia B-9;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'55.000";-57°31'35.800";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,25;5.895,00;0 - Etapa única;Baixo;Médio;B;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;-;Ativa;Não Embargada
8860;Bacia de Acumulação 01;CARBONIFERA SIDEROPOLIS LTDA;83.852.137/0001-00;-28°27'13.000";-49°22'13.000";Sul do Equador;URUSSANGA;SC;Carvão Mineral Camada Barro Branco;7,10;117.757,76;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;2º Campanha 2024 - Atestado;Não Enviado;Campanha 2024 - Não Enviado;Em descaracterização (projeto/obras/monitoramento);Embargada
9564;Bacia de Acumulação A;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°28'59.020";-49°27'04.040";Sul do Equador;TREVISO;SC;-;3,84;3.640,40;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;2º Campanha 2024 - Atestado;Atestado;Campanha 2024 - Atestado;Ativa;Desembargada
